bucket,accounts,predicted_pd,observed_default_rate,defaults,calibration_gap
"(0.08549999999999999, 0.219]",100,0.17259971499200025,0.04,4,0.13259971499200024
"(0.219, 0.276]",99,0.2487117718510339,0.09090909090909091,9,0.157802680941943
"(0.276, 0.324]",99,0.2985875364446545,0.020202020202020204,2,0.2783855162426343
"(0.324, 0.367]",100,0.34497642407581935,0.15,15,0.19497642407581936
"(0.367, 0.411]",99,0.3876039929592085,0.13131313131313133,13,0.2562908616460772
"(0.411, 0.461]",99,0.43774642738518793,0.1414141414141414,14,0.29633228597104655
"(0.461, 0.513]",100,0.48905195708532434,0.2,20,0.28905195708532433
"(0.513, 0.57]",99,0.5425998148250084,0.2828282828282828,28,0.2597715319967256
"(0.57, 0.644]",99,0.6057335321397082,0.29292929292929293,29,0.3128042392104152
"(0.644, 0.937]",100,0.711914606282679,0.39,39,0.321914606282679
