feature,importance_mean,importance_std
credit_utilisation,0.07651461280125033,0.01227053936033242
debt_to_income,0.05583209535812095,0.013856687942066868
home_ownership,0.052550463624650545,0.007380816147638916
delinquencies_2y,0.0373427302105848,0.006239373023502548
annual_income,0.021903360486647372,0.007253627217574169
loan_amount,0.016045566875303553,0.008906344734319787
purpose,0.010968577724894879,0.0064871580534967815
employment_length,0.01046165327775933,0.0030685744502473573
loan_to_income,0.001220138981785812,0.0014683765716580136
age,-0.0003893461378694951,0.0001991150809375373
interest_rate,-0.0019594038005253276,0.004044943475890345
