bucket,accounts,predicted_pd,observed_default_rate,defaults,calibration_gap
D01,22564,0.06000100301846495,0.039975181705371385,902,0.020025821313093564
D02,22564,0.10368569898686185,0.08265378478993086,1865,0.021031914196930984
D03,22564,0.13706197028485523,0.11744371565325297,2650,0.019618254631602258
D04,22564,0.1679147656295208,0.15480411274596703,3493,0.013110652883553758
D05,22564,0.20002402914843306,0.18210423683744018,4109,0.017919792310992888
D06,22563,0.23565545369932556,0.2179674688649559,4918,0.017687984834369647
D07,22564,0.27563567658556726,0.2575784435383797,5812,0.018057233047187538
D08,22564,0.3226772376270929,0.3009218223719199,6790,0.021755415255172994
D09,22564,0.3877862896477243,0.3447527034213792,7779,0.04303358622634512
D10,22564,0.5021095394696764,0.4309962772558057,9725,0.07111326221387071
