vintage_quarter,input_rows,resolved_rows,unresolved_rows,resolution_rate,defaults,non_defaults,resolved_default_rate
2007Q2,24,24,0,1.0,3,21,0.125
2007Q3,190,190,0,1.0,40,150,0.21052631578947367
2007Q4,389,389,0,1.0,115,274,0.29562982005141386
2008Q1,1013,1013,0,1.0,234,779,0.23099703849950642
2008Q2,498,498,0,1.0,110,388,0.22088353413654618
2008Q3,298,298,0,1.0,52,246,0.174496644295302
2008Q4,584,584,0,1.0,100,484,0.17123287671232876
2009Q1,895,895,0,1.0,123,772,0.13743016759776536
2009Q2,1098,1098,0,1.0,158,940,0.14389799635701275
2009Q3,1364,1364,0,1.0,174,1190,0.12756598240469208
2009Q4,1924,1924,0,1.0,268,1656,0.1392931392931393
2010Q1,2172,2172,0,1.0,254,1918,0.11694290976058933
2010Q2,3006,3006,0,1.0,441,2565,0.1467065868263473
2010Q3,3568,3568,0,1.0,537,3031,0.15050448430493274
2010Q4,3791,3791,0,1.0,525,3266,0.13848588762859404
2011Q1,4126,4126,0,1.0,565,3561,0.13693650024236548
2011Q2,5102,5102,0,1.0,783,4319,0.15346922775382202
2011Q3,5876,5876,0,1.0,861,5015,0.1465282505105514
2011Q4,6617,6617,0,1.0,1088,5529,0.16442496599667522
2012Q1,8076,8076,0,1.0,1304,6772,0.16146607231302626
2012Q2,10447,10447,0,1.0,1779,8668,0.17028812099167226
2012Q3,16133,16133,0,1.0,2654,13479,0.16450753114733777
2012Q4,18711,18711,0,1.0,2907,15804,0.15536315536315537
2013Q1,22706,22706,0,1.0,3410,19296,0.1501805690125958
2013Q2,30668,30668,0,1.0,4985,25683,0.16254728055301942
2013Q3,37571,37571,0,1.0,5847,31724,0.1556253493385856
2013Q4,43869,43859,10,0.9997720485992386,6782,37077,0.15463188855195056
2014Q1,47410,47013,397,0.9916262391900443,7751,39262,0.16486929147257143
2014Q2,55349,52456,2893,0.9477316663354352,9766,42690,0.18617508006710387
2014Q3,58726,55238,3488,0.9406055239587235,10390,44848,0.18809515188819292
2014Q4,74144,68396,5748,0.9224751834268451,13255,55141,0.19379788291712965
2015Q1,84277,76803,7474,0.9113162547314214,15435,61368,0.20096871215968126
2015Q2,95825,85942,9883,0.8968640751369684,17685,68257,0.20577831560820087
2015Q3,110489,97904,12585,0.8860972585506249,19819,78085,0.2024329955875143
2015Q4,130504,114897,15607,0.8804097958683259,22865,92032,0.19900432561337547
2016Q1,133887,111934,21953,0.836033371425157,22791,89143,0.20361105651544661
2016Q2,97854,62949,34905,0.6432951131277209,15955,46994,0.25345914947020604
2016Q3,99120,60891,38229,0.61431598062954,15806,45085,0.25957859125322297
2016Q4,103546,57331,46215,0.5536766268132038,13700,43631,0.23896321361915893
2017Q1,96779,46874,49905,0.4843406110829829,10751,36123,0.2293595596706063
2017Q2,105451,44492,60959,0.4219210818294753,10591,33901,0.23804279421019509
2017Q3,122701,43854,78847,0.3574054001189884,10498,33356,0.23938523281798696
2017Q4,118648,34101,84547,0.2874131885914638,7329,26772,0.21492038356646434
2018Q1,107864,22530,85334,0.20887413780315953,4387,18143,0.19471815357301375
2018Q2,130772,18449,112323,0.14107760070963205,3347,15102,0.181419047102824
2018Q3,128194,10309,117885,0.08041718021124233,1018,9291,0.09874866621398777
2018Q4,128412,5030,123382,0.03917079400679064,122,4908,0.024254473161033796
