feature,feature_type,bin_order,bin,min_value,max_value,total,goods,bads,bad_rate,dist_good,dist_bad,woe,iv
age,numeric,1,Missing,,,829355,676290,153065,0.18455908507213437,1.0,1.0,0.0,0.0
annual_income,numeric,1,"[0, 42,000]",0.0,42000.0,176549,138530,38019,0.21534531489841346,0.20483799181715617,0.24838307157603157,-0.1927528150012919,0.008393436702979009
annual_income,numeric,2,"(42,000, 55,000]",42004.0,55000.0,156578,124829,31749,0.20276794952036684,0.18457902122304978,0.20742088483549795,-0.11667231796610293,0.002665013174329909
annual_income,numeric,3,"(55,000, 72,000]",55000.08,72000.0,169018,136825,32193,0.19047083742559964,0.2023168951918769,0.21032155643243525,-0.038802324483358824,0.0003105994628355106
annual_income,numeric,4,"(72,000, 98,000]",72002.0,98000.0,163416,135753,27663,0.1692796299016008,0.20073178341340217,0.18072686649071001,0.10498273943364837,0.0021001709806867737
annual_income,numeric,5,"(98,000, 9,500,000]",98003.0,9500000.0,163790,140349,23441,0.14311618535930154,0.2075276544338031,0.15314435414325658,0.3038836374534533,0.016526195109014725
annual_income,numeric,6,Missing,,,4,4,0,0.0,6.653920711880798e-06,3.2665220686230956e-06,0.7114804303457902,2.4100678444577356e-06
debt_to_income,numeric,1,"[0, 0.105]",0.0,0.1048,165964,143461,22503,0.13558964594731387,0.21212921026833045,0.14701635874251967,0.36665170686098003,0.02387373815052409
debt_to_income,numeric,2,"(0.105, 0.152]",0.1049,0.1523,165866,140124,25742,0.1551975691220624,0.20719495839820906,0.16817688870306008,0.20864384360411917,0.008140880031209287
debt_to_income,numeric,3,"(0.152, 0.198]",0.1524,0.1978,165782,136228,29554,0.1782702585322894,0.20143414171076737,0.19308085295424257,0.042353459414350966,0.0003537906763258274
debt_to_income,numeric,4,"(0.198, 0.253]",0.1979,0.253,165976,132251,33725,0.2031920277630501,0.19555355445051184,0.22033018005069643,-0.11929296194213795,0.0029556770547774216
debt_to_income,numeric,5,"(0.253, 9.99]",0.2531,9.99,165765,124225,41540,0.2505957228606763,0.18368591719861066,0.2713859199832754,-0.39031453952219014,0.0342305862029912
debt_to_income,numeric,6,Missing,,,2,1,1,0.5,2.2179735706269325e-06,9.799566205869286e-06,-1.4857441469904291,1.126430688267707e-05
