feature,feature_type,bin_order,bin,min_value,max_value,total,goods,bads,bad_rate,dist_good,dist_bad,woe,iv
age,numeric,1,"[21.0, 29.0]",21.0,29.0,620,576,44,0.07096774193548387,0.20801010283240123,0.16760828625235405,0.2159570223590533,0.00872505600652362
age,numeric,2,"(29.0, 35.0]",30.0,35.0,598,538,60,0.10033444816053512,0.1942991160021649,0.2278719397363465,-0.15938499661821834,0.0053510043973365755
age,numeric,3,"(35.0, 41.0]",36.0,41.0,665,602,63,0.09473684210526316,0.21739130434782608,0.2391713747645951,-0.09548136871170174,0.00207959093403035
age,numeric,4,"(41.0, 48.0]",42.0,48.0,604,550,54,0.08940397350993377,0.19862890131697636,0.20527306967984935,-0.03290287368432964,0.00021861223238102916
age,numeric,5,"(48.0, 72.0]",49.0,72.0,545,503,42,0.07706422018348624,0.18167057550063143,0.160075329566855,0.12655050805037996,0.002732889344392309
annual_income,numeric,1,"[28,000, 38,492]",28000.0,38489.0,607,550,57,0.09390444810543658,0.19862890131697636,0.21657250470809794,-0.08648711981843608,0.0015518905764624284
annual_income,numeric,2,"(38,492, 50,678]",38505.58,50676.57,606,536,70,0.11551155115511551,0.19357748511636297,0.2655367231638418,-0.3160752759253357,0.022744536021233788
annual_income,numeric,3,"(50,678, 63,528]",50679.17,63504.04,606,554,52,0.0858085808580858,0.2000721630885802,0.1977401129943503,0.011724509014977798,2.734214235317833e-05
annual_income,numeric,4,"(63,528, 83,028]",63543.4,83022.3,606,559,47,0.07755775577557755,0.20187624030308496,0.17890772128060264,0.12078468853351837,0.0027742454162067182
annual_income,numeric,5,"(83,028, 220,000]",83029.37,220000.0,607,570,37,0.060955518945634266,0.2058452101749955,0.14124293785310735,0.37664310814789936,0.024332000640732963
debt_to_income,numeric,1,"[0.02, 0.16]",0.02,0.1599,608,573,35,0.05756578947368421,0.20692765650369835,0.1337099811676083,0.4366961119101893,0.03197387414237309
debt_to_income,numeric,2,"(0.16, 0.245]",0.1601,0.2445,605,563,42,0.06942148760330578,0.2033195020746888,0.160075329566855,0.23913412937159392,0.010341157543055854
debt_to_income,numeric,3,"(0.245, 0.33]",0.2446,0.3297,607,557,50,0.08237232289950576,0.20115460941728305,0.1902071563088512,0.05596003887509391,0.0006126199015311136
debt_to_income,numeric,4,"(0.33, 0.439]",0.3298,0.4382,605,554,51,0.08429752066115702,0.2000721630885802,0.19397363465160075,0.030955870942865515,0.00018878525923653102
debt_to_income,numeric,5,"(0.439, 0.867]",0.439,0.8669,607,522,85,0.1400329489291598,0.1885260689157496,0.3220338983050847,-0.5354205202816141,0.07148283147330678
credit_utilisation,numeric,1,"[0.01, 0.243]",0.01,0.2427,607,583,24,0.039538714991762765,0.21053581093270793,0.09227871939736347,0.8248422059980635,0.09754344025692845
credit_utilisation,numeric,2,"(0.243, 0.363]",0.2432,0.3628,606,565,41,0.06765676567656766,0.2040411329604907,0.15630885122410546,0.2664877401416567,0.012720067891734178
credit_utilisation,numeric,3,"(0.363, 0.475]",0.3629,0.4751,606,551,55,0.09075907590759076,0.1989897167598773,0.20903954802259886,-0.04927031023669747,0.0004951583041407517
credit_utilisation,numeric,4,"(0.475, 0.616]",0.4753,0.6159,606,555,51,0.08415841584158416,0.20043297853148115,0.19397363465160075,0.032757673232128415,0.0002115930761110706
credit_utilisation,numeric,5,"(0.616, 0.978]",0.6161,0.9783,607,515,92,0.1515650741350906,0.1860003608154429,0.3483992467043315,-0.6276004692392309,0.10192161698779477
delinquencies_2y,numeric,1,"[0, 0.6]",0.0,0.0,1819,1698,121,0.06652006597031336,0.6130662335318534,0.45935727788279773,0.2886446878109852,0.04436727351707424
delinquencies_2y,numeric,2,"(0.6, 1]",1.0,1.0,864,770,94,0.1087962962962963,0.27810864464898033,0.3572778827977316,-0.25050201674857697,0.019832053820710568
delinquencies_2y,numeric,3,"(1, 6]",2.0,6.0,349,301,48,0.13753581661891118,0.10882512181916622,0.1833648393194707,-0.5217356187852477,0.038890025634098914
loan_amount,numeric,1,"[2,580, 11,141]",2579.83,11140.1,607,558,49,0.08072487644151564,0.201515424860184,0.1864406779661017,0.07775282075674485,0.0011721040932088779
loan_amount,numeric,2,"(11,141, 15,091]",11142.93,15089.88,606,574,32,0.052805280528052806,0.2072884719465993,0.1224105461393597,0.5267308797752527,0.044707824533945936
loan_amount,numeric,3,"(15,091, 20,051]",15093.74,20049.2,606,559,47,0.07755775577557755,0.20187624030308496,0.17890772128060264,0.12078468853351837,0.0027742454162067182
loan_amount,numeric,4,"(20,051, 28,100]",20051.66,28092.56,606,546,60,0.09900990099009901,0.19718563954537255,0.2278719397363465,-0.14463818559806832,0.0044384107823401305
loan_amount,numeric,5,"(28,100, 85,000]",28101.53,85000.0,607,532,75,0.12355848434925865,0.19213422334475916,0.2843691148775895,-0.39207888684926473,0.036163353600854785
interest_rate,numeric,1,"[0.035, 0.0464]",0.035,0.0464,611,578,33,0.054009819967266774,0.20873173371820314,0.12617702448210924,0.5033639796248446,0.04155506697785214
interest_rate,numeric,2,"(0.0464, 0.0589]",0.0465,0.0589,607,565,42,0.06919275123558484,0.2040411329604907,0.160075329566855,0.24267709144793814,0.010669493290739402
interest_rate,numeric,3,"(0.0589, 0.071]",0.059,0.0709,601,557,44,0.07321131447587355,0.20115460941728305,0.16760828625235405,0.18244418598421336,0.006120331622588832
interest_rate,numeric,4,"(0.071, 0.0854]",0.071,0.0854,607,554,53,0.08731466227347612,0.2000721630885802,0.2015065913370998,-0.007143975289404905,1.0247519961848446e-05
interest_rate,numeric,5,"(0.0854, 0.19]",0.0855,0.1902,606,515,91,0.15016501650165018,0.1860003608154429,0.3446327683615819,-0.6167307970023268,0.09783349113632822
employment_length,numeric,1,"[0, 3]",0.0,3.0,687,621,66,0.09606986899563319,0.22424679776294426,0.2504708097928437,-0.11059516488890847,0.0029002489344954474
employment_length,numeric,2,"(3, 6]",4.0,6.0,819,751,68,0.08302808302808302,0.2711528053400686,0.2580037664783427,0.04970833574698387,0.0006536168384888077
employment_length,numeric,3,"(6, 8]",7.0,8.0,563,512,51,0.0905861456483126,0.18491791448674003,0.19397363465160075,-0.047810224834993136,0.0004329560171247724
employment_length,numeric,4,"(8, 10.0]",9.0,10.0,460,427,33,0.07173913043478261,0.15424860184015876,0.12617702448210924,0.20087972136792817,0.005639010638043229
employment_length,numeric,5,"(10.0, 21.0]",11.0,21.0,503,458,45,0.08946322067594434,0.1654338805700884,0.1713747645951036,-0.0352811624382511,0.000209601294313372
loan_to_income,numeric,1,"[0.0265, 0.174]",0.026465405666314726,0.17376467569337312,607,575,32,0.05271828665568369,0.20764928738950028,0.1224105461393597,0.5284700106483797,0.045046118496116276
loan_to_income,numeric,2,"(0.174, 0.259]",0.1738498630969621,0.2586803884625979,606,564,42,0.06930693069306931,0.20368031751758975,0.160075329566855,0.2409071794814797,0.010504754658535417
loan_to_income,numeric,3,"(0.259, 0.371]",0.258680941875293,0.37058179489248066,606,548,58,0.09570957095709572,0.19790727043117445,0.22033898305084745,-0.10736860270039171,0.002408461640151033
loan_to_income,numeric,4,"(0.371, 0.549]",0.37070945894578167,0.5487276441559441,606,544,62,0.10231023102310231,0.19646400865957062,0.23540489642184556,-0.1808277425472065,0.0070415928268363175
loan_to_income,numeric,5,"(0.549, 2.208]",0.5490040431879099,2.207655357142857,607,538,69,0.11367380560131796,0.1942991160021649,0.2617702448210923,-0.29806838415216896,0.020111010343980527
home_ownership,categorical,1,mortgage,,,1205,1123,82,0.06804979253112033,0.40544929628293036,0.3113207547169811,0.2641720794079925,0.024866132557118465
home_ownership,categorical,2,other,,,97,92,5,0.05154639175257732,0.03338145073980513,0.020754716981132074,0.47522683340319816,0.006000562700359457
home_ownership,categorical,3,own,,,457,426,31,0.06783369803063458,0.153915553951642,0.11886792452830189,0.2583911022233902,0.009055995597013772
home_ownership,categorical,4,rent,,,1273,1128,145,0.11390416339355852,0.40725369902562253,0.5490566037735849,-0.2987652092307129,0.04236577450654783
purpose,categorical,1,car,,,464,423,41,0.08836206896551724,0.1527777777777778,0.15601503759398497,-0.02096796467263823,6.787874946238342e-05
purpose,categorical,2,debt_consolidation,,,1422,1305,117,0.08227848101265822,0.47095959595959597,0.4417293233082707,0.06407500302687502,0.001872929808610049
purpose,categorical,3,home_improvement,,,365,333,32,0.08767123287671233,0.12031024531024531,0.12218045112781954,-0.015425275508108053,2.884843999294897e-05
purpose,categorical,4,medical,,,182,169,13,0.07142857142857142,0.061147186147186144,0.05075187969924812,0.18633518984802652,0.0019370114005049465
purpose,categorical,5,other,,,339,312,27,0.07964601769911504,0.11273448773448773,0.10338345864661654,0.0865904129758358,0.0008097094704678198
purpose,categorical,6,small_business,,,260,227,33,0.12692307692307692,0.08207070707070707,0.12593984962406016,-0.42822325196811045,0.018785786885249473
