quarter,apra_impaired_plus_past_due_m,apra_gross_loans_advances_m,npl_proxy_ratio,unemployment_rate_pct,real_gdp_yoy_pct,apra_reporting_basis
2004-09-30,7948.3000000000,1077915.6000000001,0.0073737684,5.5000000000,3.9000000000,pre_aps_220_impaired_plus_past_due
2004-12-31,6943.8000000000,1115502.5000000000,0.0062248180,5.1333333333,3.0000000000,pre_aps_220_impaired_plus_past_due
2005-03-31,7346.0000000000,1127177.8000000000,0.0065171617,5.1333333333,3.0000000000,pre_aps_220_impaired_plus_past_due
2005-06-30,7364.8000000000,1158894.3000000000,0.0063550231,5.0666666667,2.7000000000,pre_aps_220_impaired_plus_past_due
2005-09-30,6893.7000000000,1192703.3000000000,0.0057798951,4.9666666667,3.2000000000,pre_aps_220_impaired_plus_past_due
2005-12-31,6994.3000000000,1238638.2000000000,0.0056467659,5.0000000000,3.2000000000,pre_aps_220_impaired_plus_past_due
2006-03-31,7592.0000000000,1268509.3999999999,0.0059849773,5.0666666667,2.5000000000,pre_aps_220_impaired_plus_past_due
2006-06-30,7861.9000000000,1307806.2000000000,0.0060115176,4.8666666667,2.3000000000,pre_aps_220_impaired_plus_past_due
2006-09-30,7481.1000000000,1360577.0000000000,0.0054984760,4.7000000000,2.7000000000,pre_aps_220_impaired_plus_past_due
2006-12-31,8055.4000000000,1416527.0000000000,0.0056867254,4.5333333333,3.1000000000,pre_aps_220_impaired_plus_past_due
2007-03-31,9129.3000000000,1458014.0000000000,0.0062614625,4.5666666667,4.5000000000,pre_aps_220_impaired_plus_past_due
2007-06-30,9248.0000000000,1529220.2000000000,0.0060475267,4.3333333333,4.9000000000,pre_aps_220_impaired_plus_past_due
2007-09-30,9091.8000000000,1580042.8999999999,0.0057541476,4.2666666667,4.5000000000,pre_aps_220_impaired_plus_past_due
2007-12-31,9130.4000000000,1686464.1000000001,0.0054139308,4.3333333333,3.6000000000,pre_aps_220_impaired_plus_past_due
2008-03-31,13794.5000000000,1751625.3999999999,0.0078752569,4.1000000000,3.3000000000,pre_aps_220_impaired_plus_past_due
2008-06-30,15110.1000000000,1806600.2000000000,0.0083638317,4.2666666667,3.0000000000,pre_aps_220_impaired_plus_past_due
2008-09-30,20320.9000000000,1892592.6000000001,0.0107370704,4.2000000000,2.5000000000,pre_aps_220_impaired_plus_past_due
2008-12-31,29722.3000000000,1944596.7000000000,0.0152845575,4.4666666667,1.7000000000,pre_aps_220_impaired_plus_past_due
2009-03-31,35279.5000000000,1966045.2000000000,0.0179443992,5.3000000000,1.6000000000,pre_aps_220_impaired_plus_past_due
2009-06-30,39628.2000000000,1956122.6000000001,0.0202585462,5.7333333333,1.9000000000,pre_aps_220_impaired_plus_past_due
2009-09-30,39383.7000000000,1949508.1000000001,0.0202018653,5.7000000000,1.5000000000,pre_aps_220_impaired_plus_past_due
2009-12-31,41872.5000000000,1962238.1000000001,0.0213391535,5.5666666667,2.8000000000,pre_aps_220_impaired_plus_past_due
2010-03-31,44130.3000000000,1974891.5000000000,0.0223456833,5.3333333333,2.2000000000,pre_aps_220_impaired_plus_past_due
2010-06-30,45440.7000000000,2031387.3999999999,0.0223692930,5.2666666667,2.2000000000,pre_aps_220_impaired_plus_past_due
2010-09-30,44866.4000000000,2019338.8999999999,0.0222183607,5.1333333333,2.6000000000,pre_aps_220_impaired_plus_past_due
2010-12-31,44107.8000000000,2049202.8999999999,0.0215243693,5.1000000000,2.6000000000,pre_aps_220_impaired_plus_past_due
2011-03-31,44368.7000000000,2067543.7000000000,0.0214596190,4.9666666667,1.9000000000,pre_aps_220_impaired_plus_past_due
2011-06-30,44846.4000000000,2097131.3999999999,0.0213846400,4.9666666667,2.5000000000,pre_aps_220_impaired_plus_past_due
2011-09-30,43443.4000000000,2145445.6000000001,0.0202491268,5.2000000000,3.2000000000,pre_aps_220_impaired_plus_past_due
2011-12-31,42973.3000000000,2164690.0000000000,0.0198519418,5.2000000000,3.5000000000,pre_aps_220_impaired_plus_past_due
2012-03-31,41922.3000000000,2197372.0000000000,0.0190783809,5.1333333333,4.8000000000,pre_aps_220_impaired_plus_past_due
2012-06-30,41249.9000000000,2234658.1000000001,0.0184591549,5.1333333333,4.3000000000,pre_aps_220_impaired_plus_past_due
2012-09-30,40980.2000000000,2282883.7999999998,0.0179510670,5.3000000000,3.5000000000,pre_aps_220_impaired_plus_past_due
2012-12-31,38472.0000000000,2287525.1000000001,0.0168181761,5.3666666667,2.8000000000,pre_aps_220_impaired_plus_past_due
2013-03-31,38491.0000000000,2317446.7000000002,0.0166092277,5.4666666667,2.3000000000,pre_aps_220_impaired_plus_past_due
2013-06-30,37767.7000000000,2382351.3999999999,0.0158531189,5.6333333333,2.0000000000,pre_aps_220_impaired_plus_past_due
2013-09-30,36071.0000000000,2428552.1000000001,0.0148528829,5.7000000000,2.2000000000,pre_aps_220_impaired_plus_past_due
