case_id,scenario,scenario_weight,month,portfolio_ead,ead_weighted_lgd,contractual_principal_due,scheduled_principal_applied,expected_prepayment,closing_balance,expected_cure_recovery,expected_collateral_recovery,discounted_expected_recovery_at_default
baseline,base,0.600000,1,554000.000000,0.318691,13249.761905,13249.761905,4618.331199,536131.906896,307200.000000,88981.904000,377445.345205
baseline,base,0.600000,2,536131.906896,0.315583,13249.761905,13249.761905,4442.854007,518439.290984,296318.947974,88981.904000,366937.806078
baseline,base,0.600000,3,518439.290984,0.312288,13249.761905,13249.761905,4269.194725,500920.334354,285548.239552,88981.904000,356536.868142
baseline,base,0.600000,4,500920.334354,0.308789,13249.761905,13249.761905,4097.333768,483573.238681,274886.705092,88981.904000,346241.401124
baseline,base,0.600000,5,483573.238681,0.305068,13249.761905,13249.761905,3927.251768,466396.225008,264333.187785,88981.904000,336050.287144
baseline,base,0.600000,6,466396.225008,0.301104,13249.761905,13249.761905,3758.929572,449387.533531,253886.543499,88981.904000,325962.420585
baseline,base,0.600000,7,449387.533531,0.296873,13249.761905,13249.761905,3592.348239,432545.423387,243545.640649,88981.904000,315976.707948
baseline,base,0.600000,8,432545.423387,0.292347,13249.761905,13249.761905,3427.489041,415868.172442,233309.360044,88981.904000,306092.067722
baseline,base,0.600000,9,415868.172442,0.287497,13249.761905,13249.761905,3264.333454,399354.077083,223176.594754,88981.904000,296307.430239
baseline,base,0.600000,10,399354.077083,0.282287,13249.761905,13249.761905,3102.863162,383001.452016,213146.249973,88981.904000,286621.737552
baseline,base,0.600000,11,383001.452016,0.276677,13249.761905,13249.761905,2943.060053,366808.630059,203217.242877,88981.904000,277033.943296
baseline,base,0.600000,12,366808.630059,0.270620,13249.761905,13249.761905,2784.906213,350773.961941,193388.502492,88981.904000,267543.012558
baseline,base,0.600000,13,350773.961941,0.264062,13249.761905,13249.761905,2628.383929,334895.816108,183658.969564,88981.904000,258147.921751
baseline,base,0.600000,14,334895.816108,0.256940,13249.761905,13249.761905,2473.475682,319172.578521,174027.596420,88981.904000,248847.658485
baseline,base,0.600000,15,319172.578521,0.249180,13249.761905,13249.761905,2320.164151,303602.652465,164493.346844,88981.904000,239641.221440
baseline,base,0.600000,16,303602.652465,0.240836,13249.761905,13249.761905,2168.432202,288184.458359,155055.195947,88935.429035,230484.292376
baseline,base,0.600000,17,288184.458359,0.236957,13249.761905,13249.761905,2018.262894,272916.433560,145712.130035,87256.380573,219897.197414
baseline,base,0.600000,18,272916.433560,0.232678,13249.761905,13249.761905,1869.639473,257797.032181,136463.146492,85592.009700,209414.673587
baseline,base,0.600000,19,257797.032181,0.227937,13249.761905,13249.761905,1722.545370,242824.724907,127307.253645,83942.188110,199035.643011
baseline,base,0.600000,20,242824.724907,0.222653,13249.761905,13249.761905,1576.964199,227997.998803,118243.470650,82306.788618,188759.039313
baseline,base,0.600000,21,227997.998803,0.216731,13249.761905,13249.761905,1432.879755,213315.357143,109270.827366,80685.685153,178583.807501
baseline,base,0.600000,22,213315.357143,0.210048,13249.761905,11933.035212,1303.001059,200079.320873,100388.364236,79078.752743,168508.903838
baseline,base,0.600000,23,200079.320873,0.203754,13249.761905,9291.428571,1199.993123,189587.899178,92403.613189,77485.867511,159312.269005
baseline,base,0.600000,24,189587.899178,0.202185,13249.761905,9291.428571,1098.065866,179198.404740,86121.309387,75343.852522,151256.093359
baseline,base,0.600000,25,179198.404740,0.201207,9291.428571,9291.428571,997.207348,168909.768820,79902.956670,73070.486257,143142.358045
baseline,base,0.600000,26,168909.768820,0.200123,9291.428571,9291.428571,897.405768,158720.934481,73747.862907,70815.705900,135107.014303
baseline,base,0.600000,27,158720.934481,0.198913,9291.428571,9291.428571,798.649459,148630.856450,67655.343782,68579.357891,127149.257808
baseline,base,0.600000,28,148630.856450,0.197554,9291.428571,9291.428571,700.926888,138638.500991,61624.722706,66361.289952,119268.292901
baseline,base,0.600000,29,138638.500991,0.196015,9291.428571,9291.428571,604.226654,128742.845766,55655.330725,64161.351074,111463.332485
baseline,base,0.600000,30,128742.845766,0.194257,9291.428571,8681.952302,516.149795,119544.743669,49746.506433,61979.391507,103733.597934
baseline,base,0.600000,31,119544.743669,0.192889,9291.428571,5124.761905,473.406805,113946.574958,44318.900653,59815.262751,96485.832765
baseline,base,0.600000,32,113946.574958,0.195368,9291.428571,3129.719925,448.443802,110368.411231,41404.232941,57668.817543,91685.113595
baseline,base,0.600000,33,110368.411231,0.195356,9291.428571,1791.428571,435.364490,108141.618170,39619.742068,56410.054771,88807.300918
baseline,base,0.600000,34,108141.618170,0.193510,9291.428571,1791.428571,422.366349,105927.823249,38590.998122,55744.778940,87215.180741
baseline,base,0.600000,35,105927.823249,0.191589,9291.428571,1791.428571,409.448858,103726.945819,37568.517764,55084.109733,85633.263405
baseline,base,0.600000,36,103726.945819,0.189589,133800.000000,103726.945819,0.000000,0.000000,36552.261075,54428.015253,84061.481561
baseline,downside,0.250000,1,554000.000000,0.483081,13249.761905,13249.761905,2710.452415,538039.785680,240720.000000,72544.901975,286372.856343
baseline,downside,0.250000,2,538039.785680,0.481283,13249.761905,13249.761905,2618.584236,522171.439539,232912.022218,72544.901975,279090.592349
baseline,downside,0.250000,3,522171.439539,0.479382,13249.761905,13249.761905,2527.271821,506394.405813,225150.707666,72544.901975,271851.881692
baseline,downside,0.250000,4,506394.405813,0.477371,13249.761905,13249.761905,2436.511681,490708.132227,217435.766231,72544.901975,264656.453465
baseline,downside,0.250000,5,490708.132227,0.475240,13249.761905,13249.761905,2346.300349,475112.069973,209766.909664,72544.901975,257504.038495
baseline,downside,0.250000,6,475112.069973,0.472978,13249.761905,13249.761905,2256.634380,459605.673688,202143.851562,72544.901975,250394.369339
