account_id,scenario,security_type,assumption_basis,annual_prepayment_rate,cure_rate,cure_delay_months,collateral_value,collateral_haircut,recovery_cost_rate,collateral_recovery_delay_months,collateral_is_integral,collateral_recognized_separately
SYN-ECL-001,base,unsecured,synthetic_scenario_policy,0.140000,0.700000,4,0.000000,0.200000,0.060000,9,False,False
SYN-ECL-001,downside,unsecured,synthetic_scenario_policy,0.084000,0.580000,8,0.000000,0.350000,0.090000,15,False,False
SYN-ECL-001,upside,unsecured,synthetic_scenario_policy,0.175000,0.780000,2,0.000000,0.120000,0.040000,6,False,False
SYN-ECL-002,base,separate_guarantee,synthetic_scenario_policy,0.110000,0.620000,4,23750.000000,0.200000,0.060000,9,True,True
SYN-ECL-002,downside,separate_guarantee,synthetic_scenario_policy,0.066000,0.500000,8,20187.500000,0.350000,0.090000,15,True,True
SYN-ECL-002,upside,separate_guarantee,synthetic_scenario_policy,0.137500,0.700000,2,24937.500000,0.120000,0.040000,6,True,True
SYN-ECL-003,base,residential_property,synthetic_scenario_policy,0.080000,0.520000,4,61500.000000,0.200000,0.060000,9,True,False
SYN-ECL-003,downside,residential_property,synthetic_scenario_policy,0.048000,0.400000,8,52275.000000,0.350000,0.090000,15,True,False
SYN-ECL-003,upside,residential_property,synthetic_scenario_policy,0.100000,0.600000,2,64575.000000,0.120000,0.040000,6,True,False
SYN-ECL-004,base,commercial_property,synthetic_scenario_policy,0.100000,0.560000,4,78000.000000,0.200000,0.060000,9,True,False
SYN-ECL-004,downside,commercial_property,synthetic_scenario_policy,0.060000,0.440000,8,66300.000000,0.350000,0.090000,15,True,False
SYN-ECL-004,upside,commercial_property,synthetic_scenario_policy,0.125000,0.640000,2,81900.000000,0.120000,0.040000,6,True,False
SYN-ECL-005,base,equipment,synthetic_scenario_policy,0.050000,0.380000,4,34100.000000,0.200000,0.060000,9,True,False
SYN-ECL-005,downside,equipment,synthetic_scenario_policy,0.030000,0.260000,8,28985.000000,0.350000,0.090000,15,True,False
SYN-ECL-005,upside,equipment,synthetic_scenario_policy,0.062500,0.460000,2,35805.000000,0.120000,0.040000,6,True,False
SYN-ECL-006,base,residential_property,synthetic_scenario_policy,0.020000,0.220000,4,42750.000000,0.200000,0.060000,9,True,False
SYN-ECL-006,downside,residential_property,synthetic_scenario_policy,0.012000,0.100000,8,36337.500000,0.350000,0.090000,15,True,False
SYN-ECL-006,upside,residential_property,synthetic_scenario_policy,0.025000,0.300000,2,44887.500000,0.120000,0.040000,6,True,False
