case_id,is_baseline,scenario,scenario_weight,scenario_ecl_multiplier,base_scenario_ecl,stressed_scenario_ecl,weighted_scenario_ecl
baseline,True,base,0.600000,1.000000,23545.590814,23545.590814,14127.354488
baseline,True,downside,0.250000,1.000000,45570.009327,45570.009327,11392.502332
baseline,True,upside,0.150000,1.000000,16513.742108,16513.742108,2477.061316
downside_weight_plus_10pp,False,base,0.500000,1.000000,23545.590814,23545.590814,11772.795407
downside_weight_plus_10pp,False,downside,0.350000,1.000000,45570.009327,45570.009327,15949.503265
downside_weight_plus_10pp,False,upside,0.150000,1.000000,16513.742108,16513.742108,2477.061316
downside_severity_plus_10pct,False,base,0.600000,1.000000,23545.590814,23545.590814,14127.354488
downside_severity_plus_10pct,False,downside,0.250000,1.100000,45570.009327,50127.010260,12531.752565
downside_severity_plus_10pct,False,upside,0.150000,1.000000,16513.742108,16513.742108,2477.061316
combined_downside,False,base,0.500000,1.000000,23545.590814,23545.590814,11772.795407
combined_downside,False,downside,0.350000,1.100000,45570.009327,50127.010260,17544.453591
combined_downside,False,upside,0.150000,1.000000,16513.742108,16513.742108,2477.061316
