customer_id,account_id,recalibrated_pd,scenario,stage,stage_reason,ecl_horizon,months_included,first_month,last_month,effective_interest_rate,scenario_weight,hazard_multiplier,lgd_addon,scenario_ecl,weighted_scenario_ecl
C002653,SYN-PD-ECL-001,0.0115060891,base,1,performing,12-month,12,1,12,0.0750000000,0.6000000000,1.0000000000,0.0000000000,111.4098140716,66.8458884430
C002653,SYN-PD-ECL-001,0.0115060891,downside,1,performing,12-month,12,1,12,0.0750000000,0.2500000000,1.6500000000,0.0800000000,229.0684738688,57.2671184672
C002653,SYN-PD-ECL-001,0.0115060891,upside,1,performing,12-month,12,1,12,0.0750000000,0.1500000000,0.7500000000,-0.0300000000,75.8146727612,11.3722009142
C003779,SYN-PD-ECL-002,0.0451653265,base,1,performing,12-month,12,1,12,0.0790000000,0.6000000000,1.0000000000,0.0000000000,667.4766435824,400.4859861494
C003779,SYN-PD-ECL-002,0.0451653265,downside,1,performing,12-month,12,1,12,0.0790000000,0.2500000000,1.6500000000,0.0800000000,1339.0897379129,334.7724344782
C003779,SYN-PD-ECL-002,0.0451653265,upside,1,performing,12-month,12,1,12,0.0790000000,0.1500000000,0.7500000000,-0.0300000000,459.3902760981,68.9085414147
C001747,SYN-PD-ECL-003,0.0625249870,base,1,performing,12-month,12,1,12,0.0830000000,0.6000000000,1.0000000000,0.0000000000,1274.8884677673,764.9330806604
C001747,SYN-PD-ECL-003,0.0625249870,downside,1,performing,12-month,12,1,12,0.0830000000,0.2500000000,1.6500000000,0.0800000000,2510.9423769369,627.7355942342
C001747,SYN-PD-ECL-003,0.0625249870,upside,1,performing,12-month,12,1,12,0.0830000000,0.1500000000,0.7500000000,-0.0300000000,885.0221463912,132.7533219587
C002376,SYN-PD-ECL-004,0.0739894046,base,2,sicr_indicator,lifetime,36,1,36,0.0870000000,0.6000000000,1.0000000000,0.0000000000,3292.3495368441,1975.4097221065
C002376,SYN-PD-ECL-004,0.0739894046,downside,2,sicr_indicator,lifetime,36,1,36,0.0870000000,0.2500000000,1.6500000000,0.0800000000,6238.3307596005,1559.5826899001
C002376,SYN-PD-ECL-004,0.0739894046,upside,2,sicr_indicator,lifetime,36,1,36,0.0870000000,0.1500000000,0.7500000000,-0.0300000000,2323.2700621086,348.4905093163
C003149,SYN-PD-ECL-005,0.0991911287,base,2,sicr_indicator,lifetime,42,1,42,0.0910000000,0.6000000000,1.0000000000,0.0000000000,6008.6075750866,3605.1645450520
C003149,SYN-PD-ECL-005,0.0991911287,downside,2,sicr_indicator,lifetime,42,1,42,0.0910000000,0.2500000000,1.6500000000,0.0800000000,11003.5824947921,2750.8956236980
C003149,SYN-PD-ECL-005,0.0991911287,upside,2,sicr_indicator,lifetime,42,1,42,0.0910000000,0.1500000000,0.7500000000,-0.0300000000,4302.2201257500,645.3330188625
C004963,SYN-PD-ECL-006,0.1253331147,base,3,credit_impaired,lifetime,48,1,48,0.0950000000,0.6000000000,1.0000000000,0.0000000000,9840.1156010159,5904.0693606095
C004963,SYN-PD-ECL-006,0.1253331147,downside,3,credit_impaired,lifetime,48,1,48,0.0950000000,0.2500000000,1.6500000000,0.0800000000,17371.4091229523,4342.8522807381
C004963,SYN-PD-ECL-006,0.1253331147,upside,3,credit_impaired,lifetime,48,1,48,0.0950000000,0.1500000000,0.7500000000,-0.0300000000,7157.4443533682,1073.6166530052
C003621,SYN-PD-ECL-007,0.1472201631,base,1,performing,12-month,12,1,12,0.0990000000,0.6000000000,1.0000000000,0.0000000000,7134.0235878162,4280.4141526897
C003621,SYN-PD-ECL-007,0.1472201631,downside,1,performing,12-month,12,1,12,0.0990000000,0.2500000000,1.6500000000,0.0800000000,13141.8247286257,3285.4561821564
C003621,SYN-PD-ECL-007,0.1472201631,upside,1,performing,12-month,12,1,12,0.0990000000,0.1500000000,0.7500000000,-0.0300000000,5101.6313561058,765.2447034159
C003785,SYN-PD-ECL-008,0.2358833572,base,2,sicr_indicator,lifetime,60,1,60,0.1030000000,0.6000000000,1.0000000000,0.0000000000,26285.1476759636,15771.0886055782
C003785,SYN-PD-ECL-008,0.2358833572,downside,2,sicr_indicator,lifetime,60,1,60,0.1030000000,0.2500000000,1.6500000000,0.0800000000,41219.9719912760,10304.9929978190
C003785,SYN-PD-ECL-008,0.2358833572,upside,2,sicr_indicator,lifetime,60,1,60,0.1030000000,0.1500000000,0.7500000000,-0.0300000000,20166.9095272904,3025.0364290936
