account_id,scenario,stage,stage_reason,ecl_horizon,months_included,first_month,last_month,effective_interest_rate,scenario_weight,scenario_ecl,weighted_scenario_ecl
SYN-ECL-001,base,1,performing,12-month,12,1,12,0.105000,0.600000,604.633986,362.780391
SYN-ECL-001,downside,1,performing,12-month,12,1,12,0.105000,0.250000,1239.546776,309.886694
SYN-ECL-001,upside,1,performing,12-month,12,1,12,0.105000,0.150000,412.284090,61.842614
SYN-ECL-002,base,1,performing,12-month,12,1,12,0.118000,0.600000,717.145770,430.287462
SYN-ECL-002,downside,1,performing,12-month,12,1,12,0.118000,0.250000,1432.373882,358.093471
SYN-ECL-002,upside,1,performing,12-month,12,1,12,0.118000,0.150000,495.381734,74.307260
SYN-ECL-003,base,2,30_dpd_backstop,lifetime,36,1,36,0.132000,0.600000,3093.093905,1855.856343
SYN-ECL-003,downside,2,30_dpd_backstop,lifetime,36,1,36,0.132000,0.250000,6075.722262,1518.930566
SYN-ECL-003,upside,2,30_dpd_backstop,lifetime,36,1,36,0.132000,0.150000,2154.120029,323.118004
SYN-ECL-004,base,2,sicr_indicator,lifetime,36,1,36,0.098000,0.600000,5413.216128,3247.929677
SYN-ECL-004,downside,2,sicr_indicator,lifetime,36,1,36,0.098000,0.250000,10763.947926,2690.986982
SYN-ECL-004,upside,2,sicr_indicator,lifetime,36,1,36,0.098000,0.150000,3747.620741,562.143111
SYN-ECL-005,base,2,sicr_indicator,lifetime,36,1,36,0.145000,0.600000,5684.525329,3410.715197
SYN-ECL-005,downside,2,sicr_indicator,lifetime,36,1,36,0.145000,0.250000,10975.810067,2743.952517
SYN-ECL-005,upside,2,sicr_indicator,lifetime,36,1,36,0.145000,0.150000,3991.227799,598.684170
SYN-ECL-006,base,3,credit_impaired,lifetime,36,1,36,0.157000,0.600000,8032.975696,4819.785418
SYN-ECL-006,downside,3,credit_impaired,lifetime,36,1,36,0.157000,0.250000,15082.608413,3770.652103
SYN-ECL-006,upside,3,credit_impaired,lifetime,36,1,36,0.157000,0.150000,5713.107715,856.966157
